Organization Name,Organization Name URL,Company Type,IPO Status,Last Funding Type,Industries,Full Description,Headquarters Location,Number of Employees,Operating Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Date,Contact Email
Numeral,https://www.crunchbase.com/organization/numeral-72d0,For Profit,Private,Pre-Seed,"FinTech, Information Technology, Software",Numeral creates to make it as simple as possible for e-commerce entrepreneurs to handle sales tax.,"San Francisco, California, United States",1-10,Active,500000,USD,500000,500000,USD,500000,2023-04-05,support@numeralhq.com
Warp,https://www.crunchbase.com/organization/warp-e7b9,For Profit,Private,Seed,"B2B, FinTech",,"New York, New York, United States",1-10,Active,2700000,USD,2700000,2200000,USD,2200000,2023-02-01,admin@joinwarp.com
enverx,https://www.crunchbase.com/organization/enverx,For Profit,Private,Seed,"Blockchain, Financial Services, FinTech, Marketplace, SaaS, Software","EnverX is a revolutionary fintech solution that provides multi-commodity financing, trading and escrow management services, leveraging blockchain technology for trust and transparency.  EnverX facilitates multi-commodity financing, trading, and escrow management, all with a focus on fostering trust and transparency in the financial ecosystem. With our cutting-edge financial MRV (Monitoring, Reporting & Verification) framework and secure escrow solution, EnverX ensures that transactions across various industries and commodities are conducted with utmost security and reliability.","München, Bayern, Germany",11-50,Active,1000000,EUR,1105195,1000000,EUR,1105194,2023-04-13,info@enverx.com
Structure,https://www.crunchbase.com/organization/structure-2aab,For Profit,Private,Seed,"Cryptocurrency, Finance, Financial Services, FinTech, Mobile Apps",Structure financial is a global trading platform that aims to facilitate crypto-based investing and lending for mobile users.,"Singapore, Central Region, Singapore",1-10,Active,20000000,USD,20000000,20000000,USD,20000000,2021-12-01,legal@structure.fi
Monark Markets,https://www.crunchbase.com/organization/monark-markets,For Profit,Private,Pre-Seed,"Asset Management, Finance, Financial Exchanges, Financial Services, FinTech, Hedge Funds, Marketplace, Personal Finance, Stock Exchanges, Wealth Management","Monark Markets is building ""the NASDAQ for private market securities"", an institutional-grade technology infrastructure, legal framework, and network for liquid private market securities trading. Their platform, developed in partnership with NASDAQ, is the only open-ended ATS in the private markets - allowing, for the first time, seamless trading of private market securities throughout the ecosystem. This marketplace will offer the exchange of private securities exempt from public registration through Regulations A+, D, CF, and S. Monark Markets has the ability to seamlessly connect to retail brokerages, institutional brokerages, money managers, and public market trading platforms - connecting investors and assets across brokerage and marketplace platforms without sacrificing independence or account ownership.","New York, New York, United States",1-10,Active,700000,USD,700000,700000,USD,700000,2023-02-14,caleb@monark-markets.com
Hubdoc,https://www.crunchbase.com/organization/hubdoc,For Profit,Private,Seed,"Accounting, Artificial Intelligence, Cloud Computing, Document Management, FinTech, Information Technology, Machine Learning, SaaS, Software","Hubdoc is changing the way accountants and bookkeepers work. Our platform leverages cloud computing and machine learning to automate financial document collection and processing – helping customers save time, scale their practice and build deeper relationships with the small businesses they serve.","Toronto, Ontario, Canada",51-100,Active,6000000,CAD,4501862,6000000,CAD,4501861,2017-06-21,support@hubdoc.com
Syscap,https://www.crunchbase.com/organization/syscap,For Profit,Private,Seed,"Finance, Financial Services, FinTech","Syscap is a financial technology company that offers cutting-edge solutions to financial institutions to have a better administration and management of their funding sources. It connects the leaders of financial and real estate institutions with their funders. For institutions, the company ensures the optimization of their funding source management processes, but also the strengthening of the relationship with their funders. To funders, Syscap guarantees the transparency and timely monitoring of its funds for the safety and growth of its resources.","Garza García, Nuevo Leon, Mexico",11-50,Active,2300000,USD,2300000,2300000,USD,2300000,2023-08-08,info@syscap.com.mx
Almond FinTech,https://www.crunchbase.com/organization/almond-fintech,For Profit,Private,Seed,"Financial Services, FinTech","Based in Boston and Singapore, Almond FinTech is a blockchain-based funds transfer infrastructure, connecting hundreds of financial institutions globally. We provide the technology and network to enable millions of users worldwide to send money across borders using their existing financial institutions. Our platform is an innovative transfer network built for speed, security and accessibility. Almond offers a suite of APIs that enable peer-to-peer transfers, digital currency-based international settlements and a white-labeled, web or mobile user interface.","Boston, Massachusetts, United States",1-10,Active,2000000,USD,2000000,2000000,USD,2000000,2021-12-27,money@almondfintech.com
Rebank,https://www.crunchbase.com/organization/rebank,For Profit,Private,Seed,"B2B, Financial Services, FinTech, Payments, Software, Transaction Processing","Keeping track of your finances across multiple tools is painful. Rebank organises your bank accounts and payments in one place, making it the easiest way to keep track of your finances. Your finance admin is distracting you from building and spreadsheets aren't the solution. Rebank auto-categorises spend across your accounts, lets you make bill payments to 150+ countries and pay salaries from one place. We know what it's like to lose days and weeks making sure your finances are in order. Rebank is built for entrepreneurs that want the freedom to focus on building.","London, England, United Kingdom",1-10,Active,2818000,USD,2818000,2818000,USD,2818000,2019-12-17,hello@rebanknow.com
Striga,https://www.crunchbase.com/organization/striga,For Profit,Private,Seed,"Banking, Bitcoin, Cryptocurrency, Financial Services, FinTech, Software","Striga is a developer first platform for crypto companies that need to connect to traditional financial infrastructure, without needing to pay hundreds of thousands of dollars up front and without having to wait for 8 months to launch their first card.","Tallinn, Harjumaa, Estonia",1-10,Active,2620000,USD,2620000,2500000,USD,2500000,2021-05-31,hello@striga.com
Presail,https://www.crunchbase.com/organization/presail,For Profit,Private,Seed,"Blockchain, FinTech, Software","Presail is a Management platform for community-driven funding. Presail makes it easy for companies and investors to manage investments in web 3.0. Create deals, manage cap-tables & distribute assets - all in one app","Oslo, Oslo, Norway",1-10,Active,5411480,USD,5411480,3800000,EUR,3811480,2022-09-19,
Boya,https://www.crunchbase.com/organization/boya,For Profit,Private,Seed,"Apps, Credit Cards, Financial Services, FinTech",Boya develops a mobile application that allows users to add cards to their phones and pay directly from the application. They enable the user to create a virtual card that can be loaded with e-cash and helps to manage the expenses on a single dashboard.,"Nairobi, Nairobi Area, Kenya",11-50,Active,700000,USD,700000,500000,USD,500000,2022-02-22,support@boya.co
Dovly,https://www.crunchbase.com/organization/dovly,For Profit,Private,Seed,"Consumer, Credit, Finance, FinTech","Dovly is the first fully automated credit improvement platform based on a sophisticated algorithm proven to increase credit scores.  Dovly uses technology to improve credit scores better, faster and cheaper, so people can achieve financial freedom quickly and painlessly.  Prior to Dovly, consumers had no alternative to frustrating DIY processes and costly, ineffective, and mostly illegitimate commercial services.  Companies had no alternative to monetize on subprime leads making up between 50%-80% of their total lead volume.","Scottsdale, Arizona, United States",11-50,Active,5850000,USD,5850000,3000000,USD,3000000,2021-07-18,info@dovly.com
Destaxa,https://www.crunchbase.com/organization/épico,For Profit,Private,Seed,"B2B, Credit, Financial Services, FinTech, Marketplace, Payments, Point of Sale, Retail Technology, Software","Destaxa is an integrated financial management platform designed to track business transactions. We helps small and medium entrepreneurs in their relationship with credit card machines, auditing each transaction, optimizing fees, and recovering amounts due. The company's goal is to simplify clients' day-to-day lives with transparency andconfidence, so they can focus on their own business. The platform does all the work for clients. No more Excel spreadsheets, no bureaucracy or doubts. Destaxa is automatic, practical, safe, and free.","São Paulo, Sao Paulo, Brazil",51-100,Active,6047340,USD,6047340,4778623,USD,4778623,2022-06-15,contato@destaxa.com.br
Verihubs,https://www.crunchbase.com/organization/verihubs,For Profit,Private,Seed,"Artificial Intelligence, Computer Vision, Developer APIs, Developer Platform, Financial Services, FinTech, Machine Learning, Software",Verihubs builds a digital infrastructure and provides a range of AI-based services for financial services enterprises in Indonesia.,"Jakarta, Jakarta Raya, Indonesia",11-50,Active,2800000,USD,2800000,2800000,USD,2800000,2021-08-07,
Guava,https://www.crunchbase.com/organization/guava-d2a7,For Profit,Private,Pre-Seed,"Financial Services, FinTech",Guava is a digital bank designed for and by black small business owners. It is to help close the racial wealth gap by providing equitable financial products to black entrepreneurs.,"New York, New York, United States",1-10,Active,3050000,USD,3050000,650000,USD,650000,2023-02-24,info@guavabank.com
WorkMade,https://www.crunchbase.com/organization/workmade,For Profit,Private,Pre-Seed,"Financial Services, FinTech, Software","WorkMade is a freelance banking app for independent workers. The app enables users to receive payments, deposit funds, save, automate tax deductions, calculate tax payments, use debit cards, transfer funds, and access other digital banking services. Today's workforce is unaware that they can have the safety and security of a full-time job while also having the freedom to work on whatever they want when they want. They enable people to be their own bosses and focus on what they want to do.","New City, New York, United States",1-10,Active,1850000,USD,1850000,1850000,USD,1850000,2022-05-12,hello@workmade.com
Quo Finance,https://www.crunchbase.com/organization/nillify,For Profit,Private,Seed,"Finance, Financial Services, FinTech","Quo is a developer of a financial planning platform to help consumers reach their lifestyle goals faster. Its platform uses advanced artificial intelligence to translate financial history into a personalized financial backup plan for users to modify loans and reduce default risks automatically. Quo was founded in 2018 and is based in Menlo Park, California.","Menlo Park, California, United States",11-50,Active,9750000,USD,9750000,7200000,USD,7200000,2021-12-15,contact@quo.com
Able,https://www.crunchbase.com/organization/able-bed1,For Profit,Private,Seed,FinTech,Able is a mobile app that allows the users to manage their income.,"San Jose, California, United States",,Active,3290000,USD,3290000,3290000,USD,3290000,2021-10-28,know@able.com
CapitalOS,https://www.crunchbase.com/organization/capitalos,For Profit,Private,Seed,"FinTech, SaaS, Software","CapitalOS is an embedded business card and spend management solution that takes days to deploy. Platforms use CapitalOS to win over traditional banking, by offering SMBs 0% interest, no fee business cards with a revenue-based credit limit. CapitalOS abstracts away the complexity, risk and cost involved in launching a capital product that is far superior to debit cards or loans.  On average, the CapitalOS white-labeled UX takes two days to integrate. CapitalOS handles the entire user journey, from onboarding to ongoing card management, without compromising on brand or user experience.","San Francisco, California, United States",1-10,Active,9000000,USD,9000000,9000000,USD,9000000,2022-06-16,hello@capitalos.com
SOMA.finance,https://www.crunchbase.com/organization/soma-finance,For Profit,Private,Pre-Seed,"Blockchain, Financial Services, FinTech, Marketplace","SOMA.finance is the decentralized marketplace for digital assets, compliant digital securities, and NFTs. SOMA will include features such as built-in KYC/AML, the ability to trade digital assets of all kinds, including STOs and NFTs, and a permissionless regulated AMM.","New York, New York, United States",11-50,Active,6500000,USD,6500000,,,,2022-05-30,
Barte,https://www.crunchbase.com/organization/barte,For Profit,Private,Seed,"Financial Services, FinTech","VBarte is a benchmark for B2B interactions. They designed it to automate payment procedures in Latin America. They optimize cash flow management for small and midsize enterprises through automated payments and revenue-based financing, enabling users to get easy access to financial metrics and credit payments.","São Paulo, Sao Paulo, Brazil",11-50,Active,4200000,USD,4200000,3000000,USD,3000000,2023-03-06,contato@barte.com
Ridian,https://www.crunchbase.com/organization/ridian,For Profit,Private,Seed,"Cryptocurrency, Financial Services, FinTech, Trading Platform",Ridian is an app that helps users invest in crypto through automated investment strategies. Each strategy offers responsive investing that helps users keep up with the ups and downs of a 24/7 market.,"Mexico City, Distrito Federal, Mexico",11-50,Active,6153500,USD,6153500,6153500,USD,6153500,2021-12-23,contact@ridian.io
Wibond,https://www.crunchbase.com/organization/wibond,For Profit,Private,Seed,"E-Commerce, Finance, Financial Services, FinTech, Internet, Payments","Under the “buy now pay later” business model, Wibond is a 100% flexible digital payment method to pay in installments and without a card. It provides financial access to a large community offering payment options according to the possibilities and the profile of each user. - Companies increase their sales by approaching a new user community and offering an innovative payment alternative. - Users access a universe of stores and businesses to be able to pay in installments without a card. The platform sets out an ambitious vision and seeks to promote trade in Latin America, a very complex region. Their next steps include landing in Chile and Mexico.  Wibond was founded in Argentina in 2020 by Ezequiel Bucai and Alejandro Silvestre. In 2013 they created a platform where users accessed a network of more than 2,500 gyms and sports centers located in 30 cities in Argentina, Mexico and Chile. Then Classpass, the US Unicorn, acquired Clickypass.","Córdoba, Cordoba, Argentina",11-50,Active,6000000,USD,6000000,,,,2022-12-16,hola@wibond.co
BharatNXT,https://www.crunchbase.com/organization/bharatnxt,For Profit,Private,Seed,"Financial Services, FinTech, Payments","BharatNXT is a B2B fintech platform. BharatNXT's objective is to become the go-to partner for SMEs on their path to becoming major companies for their business payments, credit, compliance, and sourcing needs.","Ghatkopar, Maharashtra, India",11-50,Active,1200000,USD,1200000,1200000,USD,1200000,2023-06-01,
Valyria,https://www.crunchbase.com/organization/valyria,For Profit,Private,Seed,"FinTech, Information Technology, Real Estate Investment, Rental Property","THE FUTURE OF REAL ESTATE IS HERE. We are Valyria. We are on the mission to make buying a real estate as easy as buying a new t-shirt. We believe that in a world where we have the technology to go to Mars, a real estate transaction can’t take half a year. We are radically transforming the real estate market - focused on our customers, driven by technology and aiming for sustainability. Together with leading research institutes, such as the Hasso-Plattner Institute, we develop innovative technological solutions to fully digitalize, perfectly screen and precisely valuate real estates with machine learning algorithms.  We are a highly motivated team of real estate experts, tech enthusiasts and pioneers. Founded by an experienced team - Steffen Biallas, Thomas Christian Thiele, Lina Adrian, Dr. Friso Zimmermann - around serial founder Robin Behlau and backed by some of the most renowned investors in Europe, such as Picus Capital. Together, we define the future of real estate transactions.","Hoppegarten, Brandenburg, Germany",11-50,Active,14750000,EUR,16190076,10000000,EUR,10563320,2022-05-09,info@valyria.de
Wectory,https://www.crunchbase.com/organization/wectory,For Profit,Private,Seed,"FinTech, Property Insurance, Property Management, Rental Property","Wectory provides landlords with their rent upfront and tenants with flexible payment date solutions, revolutionising how people deal with rent.","London, England, United Kingdom",11-50,Active,2650000,USD,2650000,2000000,USD,2000000,2022-04-09,
Pasito,https://www.crunchbase.com/organization/pasito,For Profit,Private,Seed,"Employee Benefits, Finance, FinTech, Human Resources, Software","Pasito’s software gets more employees to use the high deductible health plan (HDHP) and health savings account (HSA), saving both them and their employers a lot of money. We do this with personalized data-based recommendations and an incentive structure that enables employers to advance health expense payments for HSA enrollees. Pasito is headquartered in New York, United States and was founded in 2021.","New York, New York, United States",1-10,Active,3350000,USD,3350000,3250000,USD,3250000,2022-10-24,hi@joinpasito.com
Tribevest,https://www.crunchbase.com/organization/tribevest,For Profit,Private,Seed,"Banking, Collaboration, Financial Services, FinTech, Online Portals, Real Estate Investment, Wealth Management","Tribevest is a subscription online platform that makes it 10x easier for investor groups to collaborate, formalize, bank, pool capital, and buy private investments together.   Common financial goals include Single-Family Rental real estate and Vacation Homes.   The team is based in Columbus, OH, and is led by seasoned entrepreneurs with deep expertise in marketplaces and payments. Travis Smith (Enterprise Payments @ Jack Henry), Zach Bowers, (FuelDrop, Founder), Josh Wilson, Larry Scott (ScriptDrop Founder), Kerry Dixon, Ph.D. (OSU, Professor), and Pete Kight (CheckFree, Founder/CEO $4.5B exit to Fiserv)","Columbus, Ohio, United States",1-10,Active,4070000,USD,4070000,2495000,USD,2495000,2022-01-25,contact@tribevest.com
tulipshare,https://www.crunchbase.com/organization/tulipshare,For Profit,Private,Seed,"Financial Services, FinTech, Impact Investing, Sustainability","Tulipshare is a new activist investor platform, combining the power of crowdfunding and shareholder rights to enable retail shareholders to get their views heard. An activist investor is an individual or group that purchases large numbers of a public company's shares and/or tries to obtain seats on the company's board to effect a significant change within the company.","London, England, United Kingdom",11-50,Active,11800000,USD,11800000,10800000,USD,10800000,2021-12-07,antoine@tulipshare.com
Credit Mountain,https://www.crunchbase.com/organization/credit-mountain,For Profit,Private,Seed,"Credit, Finance, Financial Services, FinTech, SaaS","Credit Mountain is a fintech startup founded in 2020 and is based in Dallas, TX","Dallas, Texas, United States",1-10,Active,5150000,USD,5150000,3650000,USD,3650000,2022-08-29,hello@creditmountain.co
Collctiv,https://www.crunchbase.com/organization/collctiv,For Profit,Private,Pre-Seed,"Apps, Consumer Software, Finance, FinTech, Payments","Collctiv is the group payments revolution. For busy social consumers who don't want the hassle of collecting money for a group gift, sport, trip or activity. And for the companies that need to handle group purchases and bookings in a seamless and simple way.","Manchester, Manchester, United Kingdom",11-50,Active,1122662,USD,1122662,20000,USD,20000,2022-10-12,hello@collctiv.com
NOBI,https://www.crunchbase.com/organization/nobi-a2bc,For Profit,Private,Seed,"Cryptocurrency, FinTech, Trading Platform","Nobi is a cryptocurrency investment platform that helps people own crypto & earn yields. The company was founded in 2018 and is headquartered in Jakarta, Indonesia.","Jakarta, Jakarta Raya, Indonesia",51-100,Active,4000000,USD,4000000,4000000,USD,4000000,2022-02-16,hello@usenobi.com
GoldenPi,https://www.crunchbase.com/organization/goldenpi,For Profit,Private,Seed,"Financial Services, FinTech",GoldenPi Technologies is a technology driven financial advisory firm. GoldenPi advises and assists people to invest their money in safe and only fixed return based investment options (such as Government Bonds and Corporate Debentures etc.). The rates of return are at least 2% more than the usual Bank Fixed Deposit rates. ,"Bangalore, Karnataka, India",11-50,Active,2045811,USD,2045811,2000000,USD,2000000,2022-05-10,connect@goldenpi.com
RootFi,https://www.crunchbase.com/organization/clear-money,For Profit,Private,Seed,"Data Integration, Developer APIs, Financial Services, FinTech, SaaS, Software","RootFi provides a dependable and secure integration layer with an expanding list of APIs, allowing you to focus on developing features that your consumers will appreciate. Begin shipping solutions for credit risk assessment, accounting automation, and analytics.","Bengaluru, Karnataka, India",1-10,Active,1500000,USD,1500000,1000000,USD,1000000,2022-10-18,contactus@rootfi.in
Aerem,https://www.crunchbase.com/organization/aerem-c36d,For Profit,Private,Seed,"Finance, FinTech, Renewable Energy, Solar","Aerem is a revolutionary 360-degree ‘FinTech for CleanTech platform that helps businesses and commercial enterprises harness the power of the sun and reduce electricity costs by up to 70%. We leverage our widespread installer network and empower MSME businesses to make a shift to clean energy. Our unique platform helps businesses implement high-quality rooftop solar systems along with quick & easy loans from our in-house NBFC or partner banks. At Aerem, we’re on a mission to democratize the adoption of rooftop solar and create a better, greener, and sustainable future. By nature of its business, Aerem has a Triple Bottomline impact. It is headquartered in Mumbai with a growing presence across the country.","Mumbai, Maharashtra, India",11-50,Active,7500000,USD,7500000,3500000,USD,3500000,2023-03-16,connect@aerem.co
Krystal,https://www.crunchbase.com/organization/krystal-0822,For Profit,Private,Seed,"Apps, Blockchain, FinTech, Information Technology, Software","Krystal is a multi-chain platform that simplifies and meets all of your DeFi requirements. You may trade and bridge tokens, generate passive income, use cutting-edge portfolio management and market analytics tools, and participate in token sales all from a single platform, KrystalGO.","Singapore, Central Region, Singapore",11-50,Active,6600000,USD,6600000,6600000,USD,6600000,2021-08-04,support@krystal.app
QUASH.AI,https://www.crunchbase.com/organization/quash-ai,For Profit,Private,Seed,"Banking, Financial Services, FinTech, Lending, Software","QUASH is the leading Credvertising™ Platform that allows Financial Institutions to improve their Return on Prospecting to new and existing borrowers by personalizing offerings based on credit risk. The company was founded in 2019 and is headquartered in Miami, Florida.","Miami, Florida, United States",11-50,Active,4400000,USD,4400000,3700000,USD,3700000,2023-02-13,yoel@quash.ai
Finvero,https://www.crunchbase.com/organization/finvero,For Profit,Private,Pre-Seed,"Consumer Lending, Financial Services, FinTech, SaaS","Finvero facilitates your daily tasks and activities in just a few clicks and enjoy great benefits. Finvero offers your customers credit payments and increase your average ticket sales. Finvero was established in January 2021 by Mexico City, Distrito Federal.","Mexico City, Distrito Federal, Mexico",51-100,Active,2170000,USD,2170000,1320000,USD,1320000,2022-11-01,mario.hernandez@finvero.com
PowerTrade,https://www.crunchbase.com/organization/powertrade,For Profit,Private,Seed,"Cryptocurrency, FinTech, Trading Platform","PowerTrade is a mobile crypto options and derivatives platform where people can trade options, futures, perpetuals, and hedge. PowerTrade's mobile-first trading experience is intended to be simple, fast, and user-focused. PowerTrade enables traders to maximize ROI by providing better prices and lower margin requirements through an intuitive interface.","Singapore, Central Region, Singapore",1-10,Active,4700000,USD,4700000,4700000,USD,4700000,2020-09-17,hello@power.trade
Lexop,https://www.crunchbase.com/organization/lexop,For Profit,Private,Seed,"Debt Collections, FinTech, Payments, SaaS, Software","Lexop is a leading provider of digital payment and collection solutions that empower customers to self-cure their late bills. With a user-friendly platform and advanced automation capabilities,  Lexop is revolutionizing how businesses manage late payments by streamlining processes, improving cash flow, and enhancing customer satisfaction. We are on an exciting journey alongside our clients to reshape the digital payments and collections landscape. Learn why Lexop is the ultimate partner for timely collections and optimized revenue recovery at www.lexop.com.","Montréal, Quebec, Canada",11-50,Active,2269073,USD,2269073,,,,2022-02-03,support@lexop.com
Redeem,https://www.crunchbase.com/organization/redeem-a696,For Profit,Private,Pre-Seed,"Blockchain, FinTech",Redeem uses Web3 technology to enable users to send and redeem non-fungible tokens (NFT) by using their phone numbers.,"Kansas City, Kansas, United States",11-50,Active,2500000,USD,2500000,2500000,USD,2500000,2023-03-01,privacy@redeem.xyz.
Chintai,https://www.crunchbase.com/organization/chintai,For Profit,Private,Seed,"Blockchain, Cryptocurrency, Financial Exchanges, Financial Services, FinTech, Real Estate, SaaS","Chintai is a B2B SaaS company that uses high performance blockchain technology to remove inefficiencies within the value chain of regulated assets. We provide a comprehensive digital asset solution for primary, secondary, custody and cap table management. All aspects of the platform are anchored by The platform is designed for asset managers, challenger banks and SMEs to easily embrace blockchain technology.","Singapore, Central Region, Singapore",11-50,Active,7700000,USD,7700000,7500000,USD,7500000,2021-02-01,hello@chintai.io
Stronghold,https://www.crunchbase.com/organization/stronghold,For Profit,Private,Seed,"Blockchain, Cryptocurrency, Developer APIs, Financial Services, FinTech, Internet, Payments","Stronghold creates virtual payment networks that enable developers to access legacy and next-generation payment networks all through a simple API.  The company was founded in 2017 in San Francisco, CA by Tammy Camp and Sean Bennett. Stronghold is a financially viable company and does not need additional funding rounds.","San Francisco, California, United States",11-50,Active,3300000,USD,3300000,3300000,USD,3300000,2018-07-12,hello@stronghold.co
HolyWally,https://www.crunchbase.com/organization/holywally,For Profit,Private,Seed,"B2B, Banking, Cryptocurrency, Financial Services, FinTech, Mobile Payments, Payments","HolyWally aims to revolutionize the mobile payments industry by making it remarkably simple for anyone in any industry to build a mobile payment solution that perfectly suits their business needs. In doing so, HolyWally saves years of hard work and turns that into rapidly scalable value.  HolyWally began as a spinoff venture from Creitive, a global digital innovation agency with a focus on the financial services industry. Having years of experience building and scaling fintech products, the HolyWally team saw the need to create an intuitive and user-friendly wallet platform for organizations of every kind. The result is HolyWally – a digital wallet platform that exists at the cross-section of adaptability, scalability, and optimized user experience. Here at HolyWally, our mission is to provide you what you need, so that you can provide your customers with what they need.","Singapore, Central Region, Singapore",11-50,Active,2790000,USD,2790000,1425000,USD,1425000,2023-01-31,info@holywally.com
getmomo,https://www.crunchbase.com/organization/getmomo,For Profit,Private,Seed,"Financial Services, FinTech, Payments, Real Estate",Getmomo is the digital banking platform. They offer solutions for property management and integrate seamlessly with existing software. Their digital business banking makes the opening of business and owner accounts easy and instant. They offer online banking access and direct integration into the platform with an account model that meets rental needs.,"Berlin, Berlin, Germany",11-50,Active,3500000,EUR,3702955,3500000,EUR,3702955,2022-06-27,info@getmomo.de
Goalwise,https://www.crunchbase.com/organization/goalwise,For Profit,Private,Seed,"Financial Services, FinTech, Impact Investing, Wealth Management","Goalwise provides a simple online mutual fund investment platform to help you set, track and achieve your financial goals like retirement, child's education, etc. Its do your risk profiling, do asset allocation between equity and debt, pick best performing mutual funds and monitor and rebalance efficiently to always keep you on track. Goalwise smart algorithms automatically detect how likely you are to achieve your long term goals based on your investment pattern and if you are falling behind what needs to be done to get you back on track.","Bengaluru, Karnataka, India",11-50,Active,1000000,USD,1000000,1000000,USD,1000000,2016-05-24,contact@goalwise.com
FloatPays,https://www.crunchbase.com/organization/floatpays,For Profit,Private,Seed,"Education, Finance, Financial Services, FinTech, Human Resources, Software, Training","FloatPays provides payroll integration, employee access, financial education, effective reporting, payment, and training services. Through access, budgeting, and training, the company is enabling its team to achieve financial well-being and moving them from debt to savings.  The company was founded in 2019 and is based in Cape Town, Western Cape.","Johannesburg, NA - South Africa, South Africa",1-10,Active,5114169,USD,5114169,15000000,ZAR,989168,2022-02-21,hello@floatpays.co.za
myTU,https://www.crunchbase.com/organization/travel-union,For Profit,Private,Seed,"Banking, Finance, Financial Services, FinTech, Mobile Apps, Mobile Payments","myTU is a digital banking platform that offers payment and marketplace/loyalty solutions for private consumers and business clients with focus on travel and hospitality industry. OUR PRODUCTS - Payments infrastructure for natural and legal persons with banking services accessible via a mobile app and a website. - myTU mobile app – innovative mobile banking app for individuals with full account, payment and card management on a mobile phone, IBAN accounts, Mastercard cards for adults and children (from 7 years), SEPA transfers (including SEPA instant), tools for family’s finances management, etc. - Online banking for legal entities (myTU for Business) – IBAN accounts, SEPA regular and instant payments, acquiring of payment cards online and at POS terminals, payments by QR code and via push notification, tools for accounting and expense tracking, etc. - In-house marketplace of services offered by partners in hospitality, travel, entertainment, and gaming industries (myTU Outlet). OUR KEY STRENGHTS - In-house developed cloud-based core banking system that guarantees speed and flexibility of development and scaling. - KYC&AML and onboarding is fully automated and 100% online. KYC and AML processes are in full compliance with current legislation, scaling capacity – up to 10 thousand onboardings per day. - myTU is licensed and regulated by the Bank of Lithuania: e-money institution (EMI) license is fully passported and financial services are already provided in all 29 EEA countries. - Efficiency: cloud-based infrastructure and fully automated online services ensure low-cost base and huge scaling potentials. The combination of innovative technologies, efficiency and independence makes myTU digital banking platform unique, hard to copy and gives our customers the best services for the best price.","Vilnius, Vilniaus Apskritis, Lithuania",11-50,Active,6000000,USD,6000000,5000000,USD,5000000,2022-09-28,info@traveluonion.eu
Bolide,https://www.crunchbase.com/organization/bolide-finance,For Profit,Private,Seed,"Blockchain, Cryptocurrency, Financial Services, FinTech, Information Technology","Who we are? Bolide is an easy-to-use self-custody DeFi platform that lets you keep control of your own BTC, ETH, USDT and other crypto assets while still using them to earn some of the highest returns in the market. Why we are efficient? Using advanced algorithms to track investment opportunities and smart contracts to execute efficiently, Bolide makes your money work twice as hard. Some of their investment strategies include providing decentralised markets with liquidity to farm trading fees, and extracting lending fees from lending protocols - this allows the protocol to offer some of the industry’s highest yield. Our vision Simple and user-friendly one-stop-shop for a retail crypto investor to earn passive income without spending hours on researching the latest Defi protocols. Everyone should have access to the new financial system while maintaining control over their assets. Our team and previous rounds The team behind Bolide are seasoned professionals, who previously worked in larger global tech giants. Passion for the decentralised future and web3 brought them together to build the best in-class retail Defi product. Bolide achieved a TVL of 10M in 12 months since the launch of the first strategy. The protocol previously raised $3.4 million in the $BLID token pre-sale, and now it has opened a Seed Round fundraising to become multi-chain wallet application with free gas-less and cross chain transactions focusing on users adoption between Web2 and Web3 worlds.","London, England, United Kingdom",11-50,Active,3000000,USD,3000000,3000000,USD,3000000,2021-12-06,hello@bolide.fi
PickMyWork,https://www.crunchbase.com/organization/pick-my-work,For Profit,Private,Seed,FinTech,PickMyWork is a gig platform that helps Fintech / Digital Companies acquire SMBs for their Products through a Pay-per-task Model using upskilled unemployed youth.,"Delhi, Delhi, India",11-50,Active,1000000,USD,1000000,1000000,USD,1000000,2022-09-13,support@pickmywork.com
2EX Technology,https://www.crunchbase.com/organization/2ex-technology-co,For Profit,Private,Seed,"E-Commerce, Financial Services, FinTech, Social Impact, Sustainability",Sustainable Payment Solution and Consumer Carbon Index,"Singapore, Central Region, Singapore",1-10,Active,2000000,USD,2000000,1000000,USD,1000000,2023-01-11,info@2ex.technology
ready2order,https://www.crunchbase.com/organization/ready2order,For Profit,Private,Seed,"Financial Services, FinTech, Mobile Payments, Payments, Software","ready2order was started as a hobby project with the main purpose to eliminate administrative overhead for entrepreneurs by providing a digital cash-register application.  Since summer 2015 we have simplified the daily business of more than 10.000 entrepreneurs of small businesses with our Point of Sale.  Additionally, we launch new verticals such as payment and banking. Currently, we open the German market which offers a huge growth opportunity to 10x.  There are countless small businesses out there that we rely on every day. The cool new coffee shop, the hairdresser I trust or the kebab shop around the corner. All of them are lovely people, with great ideas, who love to go the extra mile for their customers and their passion. It is time to strengthen the small businesses and finally bring clarity into the jungle of self-employment, guidelines, and laws! That is why we have to push the boundaries of what is possible together. Because we do not accept that so many obstacles are put in the way of small businesses. Instead, we use smart software and thus take our fate into our own hands.  We are building a tool with experts from tax consulting, business, compliance and law, which enables small businesses to have the freedom to make their own decisions and to do what is important to them and what makes their company what it is.","Vienna, Wien, Austria",51-100,Active,5000000,EUR,5398251,5000000,EUR,5398250,2020-02-18,investor@ready2order.com
