Organization Name,Organization Name URL,Last Funding Type,Industries,Full Description,Headquarters Location,Number of Employees,Operating Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Date,Contact Email
Zevvy,https://www.crunchbase.com/organization/flux-ev,Seed,"Automotive, Electric Vehicle, FinTech","Flux EV is a Fintech platform that accelerates EV adoption making it easy and affordable for drivers to go electric. Founded in 2021, the company is headquartered in Hayward, California.","Hayward, California, United States",1-10,Active,5400000,USD,5400000,5400000,USD,5400000,2022-10-26,info@zevvy.com
Worky,https://www.crunchbase.com/organization/worky-64dc,Seed,"Financial Services, FinTech, Human Resources, SaaS","At Worky, we are revolutionizing the way HR is managed at Small and Medium Companies. We want to disrupt the way these firms communicate with their employees, and these employees’ financial health","Mexico City, Distrito Federal, Mexico",1-10,Active,3000000,USD,3000000,,,,2023-05-01,carlos@worky.mx
Naborly,https://www.crunchbase.com/organization/naborly,Seed,"Credit Bureau, FinTech, InsurTech, Real Estate","Naborly has reinvented how credit reports and scores work for the rental industry; Naborly helps landlords know who they're renting to, while giving tenants the tools to build credit with their rent payments, digitally share their rental application with any landlord, and revoke access to their data whenever they wish.","Toronto, Ontario, Canada",11-50,Active,13500000,USD,13500000,5000000,USD,5000000,2021-08-19,support@naborly.com
Stackwell,https://www.crunchbase.com/organization/stackwell,Seed,"Financial Services, FinTech","Stackwell Capital is a fintech firm that has developed a digital investment platform for the Black community with the goal of closing the racial wealth gap in America. It provides the financial investment tools and guidance required to help build long-term wealth, equity, and equality of opportunity. Stackwell is a participant in the MassChallenge U.S. Early Stage accelerator program as well as the 2022 Financial Solutions Lab.","Boston, Massachusetts, United States",1-10,Active,3500000,USD,3500000,3500000,USD,3500000,2022-08-03,
EQIBank,https://www.crunchbase.com/organization/eqibank,Series A,"Banking, Blockchain, Cryptocurrency, Financial Services, FinTech","EQIBank is global digital banking that provides traditional banking services for corporates and businesses. Instead of navigating multiple relationships in a fractured banking system, clients can manage their entire banking, trading, custody, lending, clearing, and settlement services for national currencies and crypto from a single interface.  EQIBank is changing global banking with a seamless fusion of new technology and centuries of market experience that ultimately benefits clients with safety, security, lower costs and a single relationship for their national currency, crypto, and digital asset ecosystem. EQIBANK Aiming to become the dominant regulated and licensed bank for private and corporate clients, EQIBank’s founders and directors have over 240 years of combined experience in banking, financial services, exchanges, asset management and blockchain technology. EQIBank will open its first accounts in December 2018.","Roseau, Saint George, Dominica",11-50,Active,12500000,CAD,9982901,12500000,CAD,9982901,2021-03-22,info@eqibank.com
HedgeFlows,https://www.crunchbase.com/organization/hedgeflows,Seed,"B2B, Enterprise Software, Financial Services, FinTech, Risk Management, SaaS, Small and Medium Businesses","HedgeFlows is an international financial management service that makes it easy for small businesses to plan and deal with their cashflows in foreign currencies. We help entrepreneurs and startups grow internationally without taking unnecessary risks by using our simple yet innovative currency solutions that reduce their cash burden and save time.  Founded by an experienced team that brings together financial markets expertise and latest technologies, HedgeFlows offers a new way to harness data and provide timely, actionable insights for business owners and small finance teams. We are revolutionizing FX risk management by building new products that are designed to better meet SMEs' needs with shorter approval processes as well as collateralization and cross-border payment features.","London, England, United Kingdom",1-10,Active,2000000,GBP,2421821,2000000,GBP,2421820,2023-02-21,info@hedgeflows.com
4Trans Factoring,https://www.crunchbase.com/organization/4trans-factoring,Seed,"Finance, Financial Services, FinTech","4Trans provides the fastest financing solution in the market to underserved businesses in logistics. As the leader in inclusive SME finance in CEE, 4Trans empowers the potential of small businesses and allows their owners to focus on leading a growing business.","Prague, Hlavni mesto Praha, Czech Republic",11-50,Active,18000000,EUR,18802608,,,,2023-06-14,ton@4trans.cz
Trukkr,https://www.crunchbase.com/organization/trukkr,Seed,"Financial Services, FinTech, Logistics","Trukkr is Pakistan's First and Largest Online Logistics Platform. They make the process of booking commercial cargo fast by linking a shipper with transporters over a secure, intuitive and powerful platform. We ensure that shippers have complete transparency in price discovery, visibility, flexibility, and choice while at the same time give transporters easy access to more jobs, whenever they want them.  Founded in 2019, Trukkr is committed to reinventing the old school trucking industry in Pakistan by making it easier for millions of truckers to book a load and move at capacity, while ensuring shippers have access to the right truck, at the right time.","Karachi, Sindh, Pakistan",11-50,Active,7000000,USD,7000000,6400000,USD,6400000,2023-03-07,info@trukkr.pk
Unocoin,https://www.crunchbase.com/organization/unocoin,Series A,"Bitcoin, Financial Exchanges, Financial Services, FinTech","Unocoin is a mobile wallet that enables users to buy, sell, store, use, and accept bitcoins. Users can print paper wallets and import bitcoin addresses to their own address book and also withdraw bitcoins to their paper wallets. Available on both iOS and Android platforms, it acts as a point-of-sale merchant mobile app. Unocoin was launched in 2013 and is based in Tumakuru, India.","Tumkur, Karnataka, India",11-50,Active,10022665,USD,10022665,5000000,USD,5000000,2020-10-08,support@unocoin.com
Resolve,https://www.crunchbase.com/organization/resolve-2d87,Seed,"Financial Services, FinTech","Resolve is a free financial management platform created by a team of passionate financial advisors, debt experts & technologists to provide affordable and unbiased help for people in financial distress.","Oakland, California, United States",11-50,Active,5200000,USD,5200000,1500000,USD,1500000,2019-01-01,support@helloresolve.com
Revere VC,https://www.crunchbase.com/organization/revere-vc,Seed,"Big Data, Business Intelligence, Financial Services, FinTech, Market Research, Venture Capital","Revere empowers a range of investment advisors, wealth managers, and allocators with the tools to expand their venture capital programs. Revere is best known for creating the industry’s first standardized framework for evaluating fund managers.","San Francisco, California, United States",1-10,Active,5520000,USD,5520000,4170000,USD,4170000,2022-05-31,info@reverevc.com
Bottlepay,https://www.crunchbase.com/organization/bottle-pay,Seed,"Apps, Bitcoin, Financial Services, FinTech, Mobile Payments","Bottlepay is a payments platform built on top of the bitcoin network, the world's first open-source monetary system.  The company provides mobile payment, mobile banking, and financial services. Bottlepay is headquartered in Tyne, England and was co-founded by Peter Cheyne and Peter O'Donoghue in 2018.","Newcastle, Newcastle upon Tyne, United Kingdom",11-50,Active,17474628,USD,17474628,11000000,GBP,15474627,2021-02-22,hello@bottlepay.com
Sedric.ai,https://www.crunchbase.com/organization/sedric-ai,Seed,"Artificial Intelligence, FinTech, Information Services, Information Technology, SaaS","Sedric is a compliance excellence platform for next-gen fintech companies. With AI-based real-time monitoring, detection and analysis of all customer interactions,  Sedric ensures customer protection, minimizes risks, and expedites business growth. Sedric empowers compliance teams to quickly apply new laws and regulations across their growing businesses and enables them to focus on the events with the highest dollar value across all channels: voice, chat, email, social, and more.","Tel Aviv-yafo, Tel Aviv, Israel",11-50,Active,3500000,USD,3500000,3500000,USD,3500000,2021-11-17,
Squeeze,https://www.crunchbase.com/organization/squeeze-2,Seed,"Artificial Intelligence, Auto Insurance, Consumer, FinTech, Home Services, Insurance, InsurTech, Mobile Payments, Payments, Price Comparison","Squeeze empowers consumers to make better buying decisions on recurring bills through automation, AI, and expertise. The company was founded in 2016 and is based in Boca Raton, Florida, United States.","Boca Raton, Florida, United States",11-50,Active,9000000,USD,9000000,5000000,USD,5000000,2021-05-15,support@squeeze.com
Vero Technologies,https://www.crunchbase.com/organization/vero-technologies,Seed,"Commercial Lending, Financial Services, FinTech","Vero Technologies is a commercial lending platform providing end-to-end inventory loan management software for SMBs. It combines software and support to enable financial institutions, wholesalers, and dealers to manage inventory loans in a single system. The platform also provides SMB business owners with the tools they need to effectively manage their treasury and portfolio functions. Users can manage their capital outflow and scale their lending program without adding personnel by utilizing its automated funding system. Vero Technologies was founded in 2020 and is based in New York.","New York, New York, United States",11-50,Active,4100000,USD,4100000,4000000,USD,4000000,2022-03-02,Info@vero-technologies.com
Presail,https://www.crunchbase.com/organization/presail,Seed,"Blockchain, FinTech, Software","Presail is a Management platform for community-driven funding. Presail makes it easy for companies and investors to manage investments in web 3.0. Create deals, manage cap-tables & distribute assets - all in one app","Oslo, Oslo, Norway",1-10,Active,5411480,USD,5411480,3800000,EUR,3811480,2022-09-19,
Lana,https://www.crunchbase.com/organization/lana-52aa,Series A,"Finance, Financial Services, FinTech, Internet, Marketplace, Payments","Lana is a technology company that through its App connects people in LATAM (México, Chile and Perú) that have been traditionally excluded or underserved by incumbent banks with payments and other financial services more adapted to their needs.","Madrid, Madrid, Spain",11-50,Active,12480028,USD,12480028,,,,2021-03-25,
Lifekey,https://www.crunchbase.com/organization/lifekey,Seed,"Consumer Electronics, FinTech, Information Technology, Payments, Software, Wearables","LIFEKEY is a cloud-based super app and wearable device company who's building tech for the post-smartphone era -- a less distracting future with no batteries to charge and no electronics to manage. LIFEKEY on. Phone off. LIFEKEY envisions a future where all personal credentials – from identity to payments – are stored and accessible to you from anywhere. It’s our mission to simplify life, so you can focus on what matters most.","Jackson, Wyoming, United States",1-10,Active,3400000,USD,3400000,2000000,USD,2000000,2023-07-01,hello@lifekey.co
Finiata,https://www.crunchbase.com/organization/bezahlt,Series A,"Commercial Lending, Finance, Financial Services, FinTech, Lending, Payments, Social Entrepreneurship, Software","Finiata is a fintech specializing in data-driven B2B lending and risk assessment solutions. Our expertise lies in embedded lending – a streamlined approach to integrating finance into the operations of non-financial companies and SMEs. Our journey began in 2016, and since then, we've navigated through the changing landscape with resilience and innovation. Our experience and adaptability have established us as a trusted and reliable partner in lending solutions. At Finiata, we're committed to supporting sustainable growth and improved cash flow management for businesses. We're constantly innovating our embedded lending and risk assessment solutions, focusing on the future of B2B finance. If you're an SME seeking tailored financing solutions or a potential Partner, interested in embedded lending, we're excited to connect with you.  Join us in our mission to shape the future of B2B finance together. Let’s grow, innovate and succeed together.","Berlin, Berlin, Germany",11-50,Active,14700000,EUR,17365039,7000000,EUR,8246353,2020-11-11,info@finiata.com
Mirador,https://www.crunchbase.com/organization/mirador-financial,Series A,"Banking, Financial Services, FinTech, Information Technology","Mirador is the leading front-end small business lending platform supporting established lenders with borrower acquisition, digital application, decisioning, and borrower communication. Mirador leverages a streamlined, delightful user experience to create profitability and efficiencies in the lending process, giving traditional lenders the edge they need to compete. Mirador’s core lending platform can be supplemented with two modules that support highly prequalified lead generation and a second look program, enabling lenders to implement or expand a fully functioning small business loan program with a single trusted partner.  Through the implementation of Mirador’s core platform, lenders have seen a 69% increase in efficiency in the small business lending process and an average reduction of $1550 in the cost to originate a loan, supporting greater profitability in the small business lending business unit. Mirador supports small business lending products including term loans, collateralized loans, SBA guaranteed loans, commercial real estate, and quick decision or docless loans, from $1k-$20M+.","Portland, Oregon, United States",11-50,Active,9700000,USD,9700000,7000000,USD,7000000,2015-11-30,sales@miradortech.com
RIDE Capital,https://www.crunchbase.com/organization/ride-capital,Seed,"Asset Management, Financial Services, FinTech, Software, Wealth Management","High taxes prevent you from building wealth. Whether it's shares, derivatives such as options, futures, CFDs, etc. or real estate - we enable tax-optimized investing by means of an asset-managing GmbH. With our own software, partnerships with tax advisors and brokers as well as digital tools, we support you in founding and managing your own GmbH. We focus on the real return after costs and taxes.","Berlin, Berlin, Germany",11-50,Active,5500000,EUR,5874908,3000000,EUR,3007959,2022-07-14,christine.kiefer@ride.capital
Maplerad,https://www.crunchbase.com/organization/travelbuddie,Seed,"Computer, Cryptocurrency, Financial Services, FinTech, Information Technology","Maplerad is a fast, safe and easy way to send and receive money with friends, family or others you trust. You can receive and send money directly into any Nigerian bank account in minutes using Bitcoin, US Dollars, and Naira.","Isolo, Lagos, Nigeria",1-10,Active,6000000,USD,6000000,6000000,USD,6000000,2022-10-17,support@sendwirepay.com
Payitoff,https://www.crunchbase.com/organization/payitoff,Seed,"Financial Services, FinTech, Software","Payitoff is a debt infrastructure company that provides a variety of services to assist fintechs, workplace providers, and financial institutions in saving the average customer $240 per month on their student loans. The company was established in 2017 and is headquartered in New York City.","New York, New York, United States",11-50,Active,11000000,USD,11000000,8500000,USD,8500000,2021-11-10,support@payitoff.io
Bitstack,https://www.crunchbase.com/organization/bitstack,Seed,"Bitcoin, FinTech, Internet, Payments","Bitstack's mission is to empower people to participate in a more open financial system. Bitstack has gone from a simple product that turns your spare change into bitcoin to a bitcoin-native neobank that is bringing a better way to buy, sell, earn and spend bitcoin. Bitstack is powered by Bitcoin - the first open, global, and permissionless monetary network that allows users to send and receive money anywhere, instantly, with almost no fees, and with no central issuer that can debase its currency.","Paris, Ile-de-France, France",1-10,Active,3051194,USD,3051194,2000000,USD,2000000,2023-04-18,hello@bitstack-app.com
fintastic,https://www.crunchbase.com/organization/fintastic,Seed,"Enterprise, Enterprise Software, FinTech, Information Technology, SaaS, Software","Fintastic develops an FP&A solution that turns data and financial models into real business value. Fintastic delivers actionable insights and recommendations by combining AI and risk-based planning. The FP&A solution is designed to meet the planning and analysis needs of organizations, including real-time actuals data sync with other systems, multiple plans, forecasts, and scenarios management, robust model assumption, reports from high-level views to the most granular drill-downs, collaboration, and insights.","Tel Aviv, Tel Aviv, Israel",11-50,Active,12000000,USD,12000000,12000000,USD,12000000,2022-10-06,
Kala,https://www.crunchbase.com/organization/kala-ff63,Seed,"Financial Services, FinTech","We turn any lender into a fintech lender. Kala is building the fintech infrastructure for lending in LatAm. We work with any lender, from banks to credit unions to any company that sells through a credit program.  Kala increases financial inclusion by providing a seamless and fully digital credit process for both people and companies in LatAm.","Bogotá, Distrito Especial, Colombia",11-50,Active,6000000,USD,6000000,4000000,USD,4000000,2023-04-12,
Sanctuary,https://www.crunchbase.com/organization/sanctuary-b371,Seed,FinTech,"Sanctuary is a startup company dedicated to innovating everyday lives by creating an all-encompassing, multifunctional, and disruptive information technology company.","Los Altos, California, United States",11-50,Active,12300000,USD,12300000,10000000,USD,10000000,2022-11-04,philipabao@sanctuaryai.org
HolyWally,https://www.crunchbase.com/organization/holywally,Seed,"B2B, Banking, Cryptocurrency, Financial Services, FinTech, Mobile Payments, Payments","HolyWally aims to revolutionize the mobile payments industry by making it remarkably simple for anyone in any industry to build a mobile payment solution that perfectly suits their business needs. In doing so, HolyWally saves years of hard work and turns that into rapidly scalable value.  HolyWally began as a spinoff venture from Creitive, a global digital innovation agency with a focus on the financial services industry. Having years of experience building and scaling fintech products, the HolyWally team saw the need to create an intuitive and user-friendly wallet platform for organizations of every kind. The result is HolyWally – a digital wallet platform that exists at the cross-section of adaptability, scalability, and optimized user experience. Here at HolyWally, our mission is to provide you what you need, so that you can provide your customers with what they need.","Singapore, Central Region, Singapore",11-50,Active,2790000,USD,2790000,1425000,USD,1425000,2023-01-31,info@holywally.com
Hello Clever,https://www.crunchbase.com/organization/aircrex,Seed,"Financial Services, FinTech, Payments, Software","Hello Clever is a buy-to-earn ecosystem that offers payments and financial management platforms for individuals and businesses. The company's instant cashback ‘buy to earn’ model is targeted at young budgeters who still want extra benefits when they do eventually make a purchase. It also hosts tracking features for consumers to manage their spending, plus social media payments and QR code invoice options for businesses. Hello Clever was founded in 2021 and is headquartered in Surry Hills, Australia.","Surry Hills, New South Wales, Australia",11-50,Active,3806156,USD,3806156,2300000,AUD,1591805,2022-08-23,team@helloclever.co
Avibra,https://www.crunchbase.com/organization/avibra,Seed,"FinTech, InsurTech, Wellness","Avibra is an ecosystem-based well-being, risk and protection advisor offering no-cost and affordable financial, insurance and lifestyle benefits. It provides both direct-2-consumer access via app and enterprise distribution through its embedded platform offering. Founded in 2019 by a finance and life insurance industry veteran to better serve a U.S. population faced with increasing costs for shrinking benefits, Avibra helps consumers from all walks of life connect with its growing selection of no- and low-cost benefits. A-la-carte options, offered for just one dollar a week, range from increased life and AD&D coverage, telehealth and teletherapy services, to phone repair and roadside assistance. For more information, visit Avibra.com.","Iselin, New Jersey, United States",1-10,Active,10908147,USD,10908147,7184997,USD,7184997,2021-04-28,hello@avibra.com
Crowdfunder,https://www.crunchbase.com/organization/crowdfunder-2,Series A,"Crowdfunding, Finance, Financial Services, FinTech, Small and Medium Businesses, Venture Capital","Crowdfunder is an equity crowdfunding platform connecting investors with early-stage entrepreneurs. It sources and funds high-growth ventures with a network of over 130,000 entrepreneurs and investors. Crowdfunder and its VC Index Fund provide the opportunity for direct online investment into single ventures, as well as diversification into a broad VC-led portfolio (Index Fund) of early-stage startups backed by many of the world’s leading Venture Capital firms and private investors. Crowdfunder was founded in 2012 and is headquartered in Los Angeles, California.","Los Angeles, California, United States",11-50,Closed,4950000,USD,4950000,,,,2016-06-01,info@crowdfunder.com
Mozper,https://www.crunchbase.com/organization/mozper,Seed,"Debit Cards, Finance, Financial Services, FinTech, Mobile Apps, Mobile Payments, Payments","Mozper is a pay-card and app designed for kids and parents in Latin America (Greenlight for LatAm). We let parents give their kids an allowance, set spending rules, assign chores and track savings goals, enabling them to give children a hands-on financial education appropriate for the digital era. By capturing consumers at a young age and offering demand-driven products and services as they grow, we aim to become their primary bank into adulthood and be the bank of the family for Latin America.","Mexico City, Distrito Federal, Mexico",11-50,Active,5135000,USD,5135000,3550000,USD,3550000,2020-12-14,hola@mozper.com
Dropp,https://www.crunchbase.com/organization/dropp,Seed,"Blockchain, Financial Services, FinTech, Payments","Dropp is a “pay per use” micropayment transaction platform designed to make it easy for consumers to purchase small-value goods and services securely without signups. Dropp enables the “Pay-per-usage” model that appeals to a growing customer base that wants to use services on an ad-hoc, on-demand basis and only pay for what they use. Consumer goods and services ranging from renting a scooter, using a vending machine, paying for parking, to buying a cup of coffee could immediately benefit from Dropp. Additionally, merchants providing cloud-based data API, market data feed, IoT sensor data, and others facing a similar challenge can leverage this platform to offer their services in smaller increments.ws payments in local currency U.S. dollars or hbar Crypto for crypto enthusiasts. In building Dropp, the team has carefully selected the best features of the existing well-regulated banking world and the transparency and cryptographically secure access offered by Hedera Hashgraph, the world’s fastest, fair, and secure distributed ledger, to create the best possible solution.","Newark, New Jersey, United States",11-50,Active,4500000,USD,4500000,2000000,USD,2000000,2021-05-01,sprabhu@dropp.cc
Icon Savings Plan,https://www.crunchbase.com/organization/icon-savings-plan,Seed,"Finance, Financial Services, FinTech, Personal Finance, Retirement","Icon. Retirement savings built for the 21st century. It’s the first portable, universally accessible, workplace savings plan.   Built for the modern workforce, our proprietary technology delivers simple, fast, radically less expensive alternative to 401k plans.","San Francisco, California, United States",11-50,Active,12200000,USD,12200000,6000000,USD,6000000,2022-10-30,Contact@IconSavingsPlan.com
Trim,https://www.crunchbase.com/organization/trim,Series A,"Consumer, Financial Services, FinTech","Trim is a financial health company that empowers customers across the United States to improve their financial lives. Trim's mission is to make Americans financially healthy at scale. Our customers benefit from automated savings, decreased bills and bank fees negotiated by Trim, canceled subscriptions, and spending analysis and recommendations. We've saved our users more than $60M and we’re continuing to grow and add features to improve financial health. Our team has previous experience at organizations like Cisco, Eventbrite, Goldman Sachs, Google, LearnVest, Patreon, Rackspace, and Stripe. Trim is backed by venture investors including Ashton Kutcher (Sound Ventures), OCA Ventures, Eniac Ventures, Version One Ventures, and Core Innovation Capital. Come work with us to create the future of personal finance.","San Francisco, California, United States",11-50,Active,11700000,USD,11700000,9500000,USD,9500000,2018-04-01,help@asktrim.com
Stables,https://www.crunchbase.com/organization/tiiik,Seed,"Cryptocurrency, Financial Services, FinTech, Mobile Apps, Mobile Payments","Stables is a digital wallet that allows users to spend, send and earn stablecoins, all on one balance.","Sydney, New South Wales, Australia",11-50,Active,5200000,AUD,3730479,5200000,AUD,3730478,2022-02-18,team@stables.money
Coinsecure,https://www.crunchbase.com/organization/coinsecure,Series A,"Bitcoin, Financial Services, FinTech","Coinsecure is an Indian, real-time bitcoin trading platform that allows its users to buy and sell bitcoins. It enables the trading process through deposits and withdrawals of bitcoins and Indian rupees. Coinsecure’s goal is to help a wide range of merchants, developers, stakeholders, and other parts of the ecosystem that need easy access to bitcoins in India. It was launched in 2015.","Delhi, Delhi, India",11-50,Closed,1500000,USD,1500000,1200000,USD,1200000,2016-01-18,support@coinsecure.in
PrizePool,https://www.crunchbase.com/organization/prizepool,Series A,"Finance, Financial Services, FinTech, Mobile Apps","PrizePool is a mobile-based application software that enables its users to invest their money through smartphones. PrizePool believes the team's experience combined with the commitments to both guarantee monthly prizes and create a social, referral model sets PrizePool apart from others in the market.","San Mateo, California, United States",1-10,Active,18620000,USD,18620000,14320000,USD,14320000,2021-05-02,support@getprizepool.com
Valoo,https://www.crunchbase.com/organization/cbien,Series A,"FinTech, Insurance, InsurTech, Property Insurance, Retail Technology, Sharing Economy","Valoo is a Digital Management Platform for your belongings. It helps you:  1- to inventorize anything you purchase or own already in an automatic way, including important documentation (receipts, warranty, etc.) 2- to know the market value in real time of your belongings 3- to actively manage it - sell, rent, share any but also insure or file a claim - for a single item or your inventory as a whole. It is free and if your home insurance provider is a partner, you get a premium version.","Paris, Ile-de-France, France",11-50,Closed,9400000,EUR,10250540,8000000,EUR,8693781,2017-05-10,partenaire@valoo.com
celeri,https://www.crunchbase.com/organization/celeri-19c5,Seed,"FinTech, Software","Celeri allows users to centralize and automate the processes of your compliance teams on a single platform. The company provides a cloud platform to deliver value through digitizing and automating business operations. Celeri was established in 2021 by Bernardo Michel, Lucas Ranallo, and Mathias Caramutti in Buenos Aires, Distrito Federal.","Buenos Aires, Distrito Federal, Argentina",11-50,Active,2600000,USD,2600000,2600000,USD,2600000,2022-12-14,hello@celeri.app
Increase,https://www.crunchbase.com/organization/increasecard,Series A,"E-Commerce, FinTech, Mobile Payments, SaaS","Increase main products allow businesses to simplify control and grow their operations. Currently, IncreaseCard and IncreaseConciliacion allow more than 25.000 businesses from Latam control their cashflow, reconciliation processes and accounting. Increase serves businesses across Argentina, Ecuador, Dominican Republic, Chile, Uruguay and Paraguay. Among its main clients are: Latam, Shell, Staples, Farmacity and Bravo, however more than 90% of its user are small and mid size businesses throughout Latam.","Buenos Aires, Distrito Federal, Argentina",11-50,Closed,3840000,USD,3840000,3000000,USD,3000000,2018-10-04,info@increasecard.com
Hyperspace,https://www.crunchbase.com/organization/solanalysis,Seed,"Blockchain, Cryptocurrency, Finance, FinTech, Trading Platform","Hyperspace is a trading platform that provides information and services about Solana NFT and NFT flex. It enables users to explore and trade NFTs aggregated across all marketplaces in a single location. It was established in 2021 and is headquartered in New York, New York.","New York, New York, United States",1-10,Active,4500000,USD,4500000,4500000,USD,4500000,2022-02-15,hello@solanalysis.com
Pine Street Labs,https://www.crunchbase.com/organization/pine-street-labs,Seed,"Blockchain, Enterprise Software, FinTech","Pine Street Labs builds enterprise wallet software designed to expand and democratize the usage of public blockchains. The company handles the complexity of supporting and maintaining access to different networks so enterprises can focus on their business. Pine Street Labs' walletOS solution is designed to face difficulties and accelerate enterprises using current custody infrastructure, moving custody operations in-house, and introducing new blockchain initiatives to the market.","San Francisco, California, United States",1-10,Active,6000000,USD,6000000,6000000,USD,6000000,2022-10-14,
B Generous,https://www.crunchbase.com/organization/bgenerous,Seed,"Financial Services, FinTech, Non Profit","B Generous is a venture-backed FinTech company that is addressing the half-a-trillion-dollar underserved donor nonprofit market in the U.S. Our mission is to unlock billions of dollars of additional liquidity for nonprofits around the country, and we accomplish this through our proprietary, and first of its kind, philanthropic credit product. B Generous is currently in stealth mode and will be deploying its product into the market in early 2022.","Los Angeles, California, United States",1-10,Active,10000000,USD,10000000,,,,2022-01-01,info@bgenerous.com
Trustap,https://www.crunchbase.com/organization/trustap,Seed,"E-Commerce, FinTech, Mobile Apps, Mobile Payments, Payments, Security, Transaction Processing","Trustap is a transaction platform specifically designed to protect buyers and seller when they're transacting online or in person with strangers. The app is designed act as a third party between unknown parties to make sure transactions finish successfully and without either party being scammed. Trustap face built models that deal with specific transaction scenarios, for example, Face to Face Transactions where the item in question is being handed over in person, or Online Transactions, where the item is being shipped by one of the integrated couriers.","Cork, Cork, Ireland",11-50,Active,4167947,USD,4167947,3100000,EUR,3367947,2022-04-07,help@trustap.com
menta,https://www.crunchbase.com/organization/kiwi-d719,Seed,"Banking, Financial Services, FinTech, Payments","Menta is a plug-and-play solution for B2B companies that provides financial services. Its platform is open and collaborative, allowing businesses to integrate a wide range of solutions such as utility bill payments, credits, investments, crypto payments, and loyalty programs, among many others. They provide a SmartPOS (or smart point of sale) payment that allows the solution to be implemented. Menta, founded in 2021 by Alejandro Quirno Lavalle, Virginia Folgueiro, and Santiago Lorenzo, is based in Buenos Aires, Argentina.","Buenos Aires, Distrito Federal, Argentina",11-50,Active,7225000,USD,7225000,6000000,USD,6000000,2022-10-21,contact@menta.global
Cybavo,https://www.crunchbase.com/organization/cybavo,Seed,"Asset Management, Bitcoin, Blockchain, Cyber Security, Financial Services, FinTech, Identity Management, Internet, Security, Trading Platform","Cybavo provides secure and usable cryptocurrency custody and digital asset management solutions for enterprises and financial institutions. CYBAVO's portfolio offers solutions for cryptocurrency exchanges, digital asset managers, or custodians. The company was founded in 2018 by experts from cybersecurity, blockchain and digital currency industries. The company has developers and researchers with solid experience in the security and cryptocurrency fields.","Singapore, Central Region, Singapore",11-50,Active,4000000,USD,4000000,4000000,USD,4000000,2021-08-09,info@cybavo.com
Ricult Inc.,https://www.crunchbase.com/organization/ricult,Seed,"Agriculture, Business Information Systems, Farming, Financial Services, FinTech","Ricult is a US-based award-winning Social Enterprise founded by MIT alums that enables farmers to pull themselves out of poverty while tapping a multi-billion dollar market. It has created an integrated digital platform that addresses the end to end needs of smallholder farmers in developing countries. Ricult currently operates in Thailand and Pakistan.  Ricult is headquartered in Boston, MA, USA.","Boston, Massachusetts, United States",11-50,Active,8300000,USD,8300000,2000000,USD,2000000,2020-08-17,contact@ricult.com
Binocs,https://www.crunchbase.com/organization/binocs-co,Seed,"Cryptocurrency, Financial Services, FinTech","Binocs simplifies the calculation of crypto tax and portfolio tracking. The company was founded in 2022 and is based in Bangalore, Karnataka .","Bangalore, Karnataka, India",1-10,Active,4000000,USD,4000000,4000000,USD,4000000,2022-09-21,
Artificial Labs,https://www.crunchbase.com/organization/artificial-labs,Series A,"Artificial Intelligence, FinTech, Insurance, InsurTech, Machine Learning, Software, Web Development","Artificial is an insurance software business offering an algorithmic underwriting, data extraction and machine learning platform to commercial insurers, empowering them to write better risks, faster. We provide solutions to partners across the London and global markets, including Convex, Chaucer and more. Our platform specialises in instantly and accurately capturing data at the point of entry for use in downstream applications. We enable clients to augment this data through effortless integrations and use it to write risks algorithmically, build contracts and plug into other systems. Behind the platform is decades' worth of experience in engineering, insurance and analysis. We do more than just provide software; we work with you every step of the journey to make sure our technology drives growth, improves efficiency and reduces costs across your business.","London, England, United Kingdom",11-50,Active,13700000,GBP,17212835,9500000,GBP,11636067,2022-06-20,hello@artificial.io
Paypa Plane,https://www.crunchbase.com/organization/paypa-plane,Series A,"Financial Services, FinTech","Paypa Plane is a future-focused payment system that delivers benefits to banks, enterprises, and payers. Working with existing systems to elevate legacy payment structures - Paypa Plane is ready to move the payment ecosystem forward.","Brisbane, Queensland, Australia",1-10,Active,10000000,USD,10000000,10000000,USD,10000000,2023-03-31,s@paypaplane.com
Biller Genie,https://www.crunchbase.com/organization/biller-genie,Series A,"Accounting, Financial Services, FinTech, Payments","Biller Genie provides an automated cloud-based A/R platform that integrates existing business processes for small and mid-sized businesses. Its cloud-based solution automates accounts receivable from bill presentment, follow-up, collection, and reconciliation without changing the current process.","Miami, Florida, United States",11-50,Active,9500000,USD,9500000,5000000,USD,5000000,2022-10-19,info@billergenie.com
